nct_id,num_drugs,has_immuno,has_chemo,has_targeted,num_genes,has_biomarker,phase,sponsor_category
NCT03207529,2,0,0,0,0,0,,Other
NCT04403529,2,0,0,0,0,0,,Academic
NCT06245889,7,1,1,1,0,0,,Other
NCT03792529,1,0,0,0,0,0,,Academic
NCT03692689,1,0,0,0,0,0,,Other
NCT01930292,4,0,1,0,0,0,,Other
NCT02157792,6,0,1,0,0,0,,Academic
NCT04174391,2,0,0,0,0,0,,Academic
NCT06418594,3,0,0,0,0,0,,Academic
NCT02883062,6,1,1,0,0,0,,Academic
NCT05680662,1,0,0,0,0,0,,Other
NCT05483491,2,0,0,0,0,0,,Other
NCT06636591,2,0,0,0,0,0,,Academic
NCT05522491,1,0,0,1,0,0,,Academic
NCT02455791,1,0,0,0,0,0,,Other
NCT01186991,5,0,1,1,0,0,,Other
NCT03872791,2,0,0,0,0,0,,Other
NCT02368691,1,0,0,0,0,0,,Other
NCT05134194,2,0,0,0,0,0,,Other
NCT02679040,3,0,0,0,0,0,,Other
NCT05636644,1,0,0,0,0,0,,Other
NCT04489940,1,0,0,0,0,0,,Academic
NCT06976944,3,1,1,1,0,0,,Other
NCT06229067,4,0,0,0,0,0,,Academic
NCT03199040,4,0,0,0,0,0,,Academic
NCT02706392,2,0,0,0,0,0,,Other
NCT04282044,3,0,0,0,0,0,,Other
NCT04149444,1,0,0,0,0,0,,Other
NCT05846789,2,0,0,0,0,0,,Other
NCT06371989,1,0,0,0,0,0,,Academic
NCT01167192,4,0,1,0,0,0,,Academic
NCT06171789,1,0,0,0,0,0,,Other
NCT04947189,2,0,1,0,0,0,,Academic
NCT04081389,7,0,1,0,0,0,,Academic
NCT04905329,1,0,0,0,0,0,,Other
NCT02587689,1,0,0,0,0,0,,Other
NCT01520389,2,0,0,0,0,0,,Other
NCT05712889,2,0,0,0,0,0,,Other
NCT06084689,1,0,0,0,0,0,,Other
NCT02445391,3,0,1,0,0,0,,Other
NCT02187991,2,0,1,0,0,0,,Other
NCT03473691,1,0,0,0,0,0,,Academic
NCT05064280,2,1,0,0,0,0,,Other
NCT05706129,2,0,0,0,0,0,,Other
NCT04561362,2,1,0,0,0,0,,Other
NCT03075462,2,0,0,0,0,0,,Other
NCT01846091,2,0,0,0,0,0,,Other
NCT05076760,3,1,1,0,0,0,,Other
NCT04434560,2,1,0,0,0,0,,Other
NCT05806060,4,0,0,0,0,0,,Academic
NCT00827567,1,0,0,0,0,0,,Other
NCT06324240,3,1,0,0,0,0,,Academic
NCT03435640,3,1,0,0,0,0,,Other
NCT04464967,3,0,0,1,0,0,,Other
NCT06690840,1,0,0,0,0,0,,Academic
NCT03750240,2,0,0,0,0,0,,Other
NCT01836640,0,0,0,0,0,0,,Other
