head,relation,tail
NCT03207529,has_title,Phase Ib Study of BYL719 (Alpelisib) in Combination With Androgen Receptor Inhibitor (Enzalutamide) 
NCT03207529,has_status,COMPLETED
NCT03207529,has_phase,
NCT03207529,sponsored_by,M.D. Anderson Cancer Center
NCT03207529,tests,Alpelisib
Alpelisib,has_type,DRUG
NCT03207529,tests,Enzalutamide
Enzalutamide,has_type,DRUG
NCT04403529,has_title,Evaluating the Clinical Value of Traditional Chinese Medicine in the Adjuvant Therapy of Triple-nega
NCT04403529,has_status,UNKNOWN
NCT04403529,has_phase,
NCT04403529,sponsored_by,Fudan University
NCT04403529,tests,Traditional Chinese Medicine Formulation
Traditional Chinese Medicine Formulation,has_type,DRUG
NCT04403529,tests,Placebo Formulation
Placebo Formulation,has_type,DRUG
NCT06245889,has_title,A Pilot Study of Neoadjuvant Response-Adapted Chemotherapy With Pembrolizumab in Patients With Stage
NCT06245889,has_status,RECRUITING
NCT06245889,has_phase,
NCT06245889,sponsored_by,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins
NCT06245889,tests,Paclitaxel
Paclitaxel,has_type,DRUG
NCT06245889,tests,Carboplatin
Carboplatin,has_type,DRUG
NCT06245889,tests,Pembrolizumab
Pembrolizumab,has_type,DRUG
NCT06245889,tests,Doxorubicin
Doxorubicin,has_type,DRUG
NCT06245889,tests,Cyclophosphamide
Cyclophosphamide,has_type,DRUG
NCT06245889,tests,Olaparib
Olaparib,has_type,DRUG
NCT06245889,tests,Capecitabine
Capecitabine,has_type,DRUG
NCT03792529,has_title,Prognosis and Targeted Therapy Related Molecular Screening Program for Patients of Breast Cancer in 
NCT03792529,has_status,UNKNOWN
NCT03792529,has_phase,
NCT03792529,sponsored_by,Peking University Cancer Hospital & Institute
NCT03792529,tests,detect gene mutations of ctDNA and ctRNA
detect gene mutations of ctDNA and ctRNA,has_type,OTHER
NCT03692689,has_title,Recombinant Anti-EGFR Monoclonal Antibody（SCT200） in Patients With Relapsed or Metastatic Triple Rec
NCT03692689,has_status,UNKNOWN
NCT03692689,has_phase,
NCT03692689,sponsored_by,Sinocelltech Ltd.
NCT03692689,tests,SCT200
SCT200,has_type,BIOLOGICAL
NCT01930292,has_title,A Phase I Study to Evaluate the Safety and Determine the Maximum Tolerated Dose (MTD) of Debio 1143 
NCT01930292,has_status,TERMINATED
NCT01930292,has_phase,
NCT01930292,sponsored_by,Debiopharm International SA
NCT01930292,tests,Part A: Debio 1143
Part A: Debio 1143,has_type,DRUG
NCT01930292,tests,Paclitaxel
Paclitaxel,has_type,DRUG
NCT01930292,tests,Carboplatin
Carboplatin,has_type,DRUG
NCT01930292,tests,Part B: Debio 1143
Part B: Debio 1143,has_type,DRUG
NCT02157792,has_title,"An Open-Label, First-in-Human Study of the Safety, Tolerability, and Pharmacokinetics of VX-970/M662"
NCT02157792,has_status,COMPLETED
NCT02157792,has_phase,
NCT02157792,sponsored_by,"EMD Serono Research & Development Institute, Inc."
NCT02157792,tests,M6620
M6620,has_type,DRUG
NCT02157792,tests,Gemcitabine
Gemcitabine,has_type,DRUG
NCT02157792,tests,Cisplatin
Cisplatin,has_type,DRUG
NCT02157792,tests,Etoposide
Etoposide,has_type,DRUG
NCT02157792,tests,Carboplatin
Carboplatin,has_type,DRUG
NCT02157792,tests,Irinotecan
Irinotecan,has_type,DRUG
NCT04174391,has_title,Lifestyles for the Prevention of Relapses Among Women with Early Breast Cancer
NCT04174391,has_status,ACTIVE_NOT_RECRUITING
NCT04174391,has_phase,
NCT04174391,sponsored_by,University of Navarra
NCT04174391,tests,Mediterranean diet supplemented with extra-virgin olive oil
Mediterranean diet supplemented with extra-virgin olive oil,has_type,BEHAVIORAL
NCT04174391,tests,Low-fat diet
Low-fat diet,has_type,BEHAVIORAL
NCT06418594,has_title,Adebrelimab Plus Apatinib and Etoposide for the Treatment of HER2-Negative Breast Cancer Brain Metas
NCT06418594,has_status,RECRUITING
NCT06418594,has_phase,
NCT06418594,sponsored_by,Beijing 302 Hospital
NCT06418594,tests,Adebrelimab
Adebrelimab,has_type,DRUG
NCT06418594,tests,Apatinib
Apatinib,has_type,DRUG
NCT06418594,tests,Etoposide
Etoposide,has_type,DRUG
NCT02883062,has_title,"Randomized Phase 2 Study of Neoadjuvant Chemotherapy, Carboplatin and Paclitaxel, With or Without At"
