trial_id,title,intervention_name,intervention_type,phase,status,summary,sponsor,outcome
NCT03207529,Phase Ib Study of BYL719 (Alpelisib) in Combination With Androgen Receptor Inhibitor (Enzalutamide) in Patients With Androgen Receptor (AR)-Positive and PTEN Positive Metastatic Breast Cancer,Alpelisib; Enzalutamide,DRUG; DRUG,,COMPLETED,This phase I trial studies the side effects and best dose of alpelisib when given together with enzalutamide in treating patients with androgen receptor and PTEN positive breast cancer that has spread to other places in the body. Alpelisib may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth. Androgen receptor can cause the growth of breast cancer cells. Hormone therapy using enzalutamide may fight breast cancer by lowering the amount of androgen the body makes. Giving alpelisib and enzalutamide may work better in treating patients with breast cancer.,M.D. Anderson Cancer Center,1.0
NCT01930292,"A Phase I Study to Evaluate the Safety and Determine the Maximum Tolerated Dose (MTD) of Debio 1143 Combined With Carboplatin and Paclitaxel in Patients With Squamous Non-Small Cell Lung Cancer (NSCLC), Platinum-refractory Ovarian Cancer, and Basal-like/Claudin Low Triple Negative Breast Cancer (TNBC)",Part A: Debio 1143; Paclitaxel; Carboplatin; Part B: Debio 1143,DRUG; DRUG; DRUG; DRUG,,TERMINATED,"This is a two-part trial in patients with squamous non-small cell lung cancer (NSCLC), platinum (Pt)-refractory ovarian cancer, and basal-like/claudin low triple negative breast cancer (TNBC).

The primary objective of Part A is to determine the maximum tolerated dose (MTD) of Debio 1143 when administered to these patients in combination with full doses of paclitaxel and carboplatin.

The primary objective of Part B is to consolidate the safety profile of the recommended dose of Debio 1143 when administered to these patients in combination with full doses of paclitaxel and carboplatin.",Debiopharm International SA,0.0
NCT02157792,"An Open-Label, First-in-Human Study of the Safety, Tolerability, and Pharmacokinetics of VX-970/M6620 in Combination With Cytotoxic Chemotherapy in Participants With Advanced Solid Tumors",M6620; Gemcitabine; Cisplatin; Etoposide; Carboplatin; Irinotecan,DRUG; DRUG; DRUG; DRUG; DRUG; DRUG,,COMPLETED,"An Open-Label, First-in-Human Study of the Safety, Tolerability, and Pharmacokinetics (PK) of M6620 in Combination With Cytotoxic Chemotherapy in Participants With Advanced Solid Tumors","EMD Serono Research & Development Institute, Inc.",1.0
NCT04174391,Lifestyles for the Prevention of Relapses Among Women with Early Breast Cancer,Mediterranean diet supplemented with extra-virgin olive oil; Low-fat diet,BEHAVIORAL; BEHAVIORAL,,ACTIVE_NOT_RECRUITING,"Background: In Spain, 1 out of every 11 women will have a breast cancer before the age of 85 years and breast cancer is the leading cause of potential years of life lost. The randomized intervention in PREDIMED trail, using Mediterranean diet with free provision of extra virgin olive oil (MedDiet+EVOO) dramatically and significantly reduced the occurrence of cases of postmenopausal breast cancer.

Objectives: Assess the efficacy of a nutritional intervention with MedDiet+EVOO for the prevention of relapses among women with early breast cancer.

Methods: Randomized, multicenter trial (LifeBreast) among 766 women diagnosed with early breast cancer. Participants will be randomized in a 1:1 ratio to i) MedDiet+EVOO or ii) low-fat diet. Changes in circulating tumor cells, inflammatory biomarkers, oxidative stress and quality of life will be evaluated. The intervention will be delivered by face-to-face interviews with study dietitian, phone calls, and online tools. Participants in the MedDiet+EVOO group will receive 0.5l/week of EVOO and participants in the low-fat group will receive allotments of different foods, both at no cost. Generalized estimating equations will be used to estimate between-group differences in the following outcomes: circulating tumor cells, inflammatory biomarkers, oxidative stress, and quality of life will be evaluated.",University of Navarra,1.0
NCT02883062,"Randomized Phase 2 Study of Neoadjuvant Chemotherapy, Carboplatin and Paclitaxel, With or Without Atezolizumab in Triple Negative Breast Cancer (TNBC)",Atezolizumab; Biospecimen Collection; Carboplatin; Lumpectomy; Mastectomy; Paclitaxel,DRUG; PROCEDURE; DRUG; PROCEDURE; PROCEDURE; DRUG,,COMPLETED,"This phase II trial studies how well carboplatin and paclitaxel with or without atezolizumab before surgery works in treating patients with newly diagnosed, stage II-III triple negative breast cancer. Immunotherapy with monoclonal antibodies, such as atezolizumab, may help the body's immune system attack the cancer, and may interfere with the ability of tumor cells to grow and spread. Drugs used in chemotherapy, such as carboplatin and paclitaxel, work in different ways to stop the growth of tumor cells, either by killing the cells, by stopping them from dividing, or by stopping them from spreading. Giving carboplatin and paclitaxel with or without atezolizumab before surgery may make the tumor smaller and reduce the amount of normal tissue that needs to be removed.",National Cancer Institute (NCI),1.0
NCT02455791,Pilot Study for Identification of Breast Cancer Patients for Potential Avoidance of Surgery: Accuracy of Image Guided Percutaneous Sampling Compared With Surgery to Evaluate Eradication of Breast Cancer After Preoperative Chemotherapy,Ultrasound-Guided Biopsy,PROCEDURE,,ACTIVE_NOT_RECRUITING,The goal of this clinical research study is to compare the use of an ultrasound-guided biopsy with what is found during surgery in finding evidence of the disease.,M.D. Anderson Cancer Center,1.0
NCT01186991,"A Randomized, Phase II, Multicenter, Double-Blind, Placebo-Controlled Study Evaluating the Safety and Efficacy of Onartuzumab And/or Bevacizumab in Combination With Paclitaxel in Patients With Metastatic, Triple-Negative Breast Cancer",Onartuzumab; Bevacizumab; Paclitaxel; Bevacizumab Placebo; Onartuzumab Placebo,DRUG; DRUG; DRUG; DRUG; DRUG,,COMPLETED,"This is a randomized, Phase II, double-blind, multicenter, placebo-controlled trial designed to preliminarily estimate the efficacy and evaluate the safety and tolerability of onartuzumab (MetMAb) + bevacizumab + paclitaxel and onartuzumab + placebo + paclitaxel versus placebo + bevacizumab + paclitaxel in participants with metastatic or locally recurrent, triple-negative breast cancer who either have not received treatment (first-line) or have progressed after one conventional cytotoxic chemotherapy regimen (second-line).","Genentech, Inc.",1.0
NCT03872791,"A Phase Ib/II Study to Evaluate Efficacy, Safety and Tolerability of KN046 Monotherapy or in Combination With Nab-paclitaxel in Subjects With Triple-negative Breast Cancer",KN046; Nab-paclitaxel,BIOLOGICAL; DRUG,,COMPLETED,"This is an open-label, phase Ib/II, multi-center study to evaluate efficacy and safety of KN046 alone or in combination with nab-paclitaxel in subjects with locally advanced unresectable or metastatic triple negative breast cancer (TNBC). The study is composed of dose escalation and expansion parts. Every subject will subject tumor tissue used for biomarker evaluation. Each subject will receive KN046 or in combination with nab-paclitaxel untill confirmed progressive disease, unacceptable toxicity or withdrawal of informed consent whichever occurs first.","Jiangsu Alphamab Biopharmaceuticals Co., Ltd",1.0
NCT02368691,"A Phase 2 Open Label, Multi-Center, Multinational Study Investigating The Efficacy and Safety Of GTx-024 On Advanced, Androgen Receptor-Positive Triple Negative Breast Cancer (AR+ TNBC)",GTx-024,DRUG,,TERMINATED,"The purpose of this study is to determine if GTx-024 is effective and safe in the treatment of patients with advanced, androgen receptor positive triple negative breast cancer (AR+ TNBC).",GTx,0.0
NCT05134194,"A Muti-center, Open-label, Randomized, Phase III Study of Camrelizumab Plus Treatment of Physician Choice Versus Treatment of Physician Choice for Metastatic Triple-Negative Breast Cancer Who Received at Least Two Prior Systemic Chemotherapy Regimens for Advanced/Metastatic Setting",Camrelizumab、Capecitabine/eribulin/gemcitabine/vinorelbine; Capecitabine/eribulin/gemcitabine/vinorelbine,DRUG; DRUG,,TERMINATED,"Approximately 104 subjects with recurrent or metastatic IM triple negative breast cancer were planned to be included in the study, and screened eligible subjects were randomly assigned in a 1:1 ratio to treatment with the combination of Camrelizumab and investigator's choice of chemotherapy (test arm), treatment with investigator's choice of chemotherapy (control arm), and the stratification factor was liver metastasis (with vs without). After enrollment, subjects in the test group were treated with Camrelizumab 200 mg IV every 3 weeks for one cycle. The investigator's choice of single agent chemotherapy regimen (capecitabine, eribulin, gemcitabine, or vinorelbine) was every 3 weeks for one cycle until disease progression, intolerable toxicity, withdrawal of informed consent, or discontinuation at the investigator's discretion.","Suzhou Suncadia Biopharmaceuticals Co., Ltd.",0.0
